"seqnames";"start";"end";"width";"strand";"Conc";"Conc_dex";"Conc_veh";"Fold";"p.value";"FDR";"MPIPSYKL_003787";"MPIPSYKL_004171";"MPIPSYKL_002604";"MPIPSYKL_004054";"MPIPSYKL_001113";"MPIPSYKL_004100";"MPIPSYKL_003331";"MPIPSYKL_003520";"MPIPSYKL_004215";"MPIPSYKL_001946";"MPIPSYKL_004251";"MPIPSYKL_002802";"MPIPSYKL_003162";"MPIPSYKL_002658";"MPIPSYKL_002613";"MPIPSYKL_003231";"MPIPSYKL_002533";"MPIPSYKL_002418";"MPIPSYKL_001109";"MPIPSYKL_001786";"MPIPSYKL_003934";"MPIPSYKL_004246";"MPIPSYKL_001547";"MPIPSYKL_000637";"MPIPSYKL_001386";"MPIPSYKL_002468";"MPIPSYKL_002088";"MPIPSYKL_000972";"MPIPSYKL_003785";"MPIPSYKL_001389";"MPIPSYKL_003155";"MPIPSYKL_000708";"MPIPSYKL_001886";"MPIPSYKL_003013";"MPIPSYKL_000988";"MPIPSYKL_003472";"MPIPSYKL_003911";"MPIPSYKL_001701";"MPIPSYKL_002383";"MPIPSYKL_001766";"MPIPSYKL_002852";"MPIPSYKL_001263";"MPIPSYKL_003353";"MPIPSYKL_001667";"MPIPSYKL_002319";"MPIPSYKL_001048";"MPIPSYKL_002095";"MPIPSYKL_000637.1";"MPIPSYKL_002418.1";"MPIPSYKL_001701.1";"MPIPSYKL_003231.1";"MPIPSYKL_001263.1";"MPIPSYKL_001786.1";"MPIPSYKL_001946.1";"MPIPSYKL_000972.1";"MPIPSYKL_003331.1";"MPIPSYKL_003520.1";"MPIPSYKL_000988.1";"MPIPSYKL_004171.1";"MPIPSYKL_001766.1";"MPIPSYKL_003353.1";"MPIPSYKL_002319.1";"MPIPSYKL_001109.1";"MPIPSYKL_004251.1";"MPIPSYKL_000708.1";"MPIPSYKL_002095.1";"MPIPSYKL_002468.1";"MPIPSYKL_003472.1";"MPIPSYKL_004054.1";"MPIPSYKL_002802.1";"MPIPSYKL_003934.1";"MPIPSYKL_002383.1";"MPIPSYKL_004215.1";"MPIPSYKL_001113.1";"MPIPSYKL_001667.1";"MPIPSYKL_003013.1";"MPIPSYKL_001048.1";"MPIPSYKL_001389.1";"MPIPSYKL_003155.1";"MPIPSYKL_001886.1";"MPIPSYKL_003787.1";"MPIPSYKL_004246.1";"MPIPSYKL_002852.1";"MPIPSYKL_002613.1";"MPIPSYKL_003911.1";"MPIPSYKL_002604.1";"MPIPSYKL_002533.1";"MPIPSYKL_001547.1";"MPIPSYKL_004100.1";"MPIPSYKL_001386.1";"MPIPSYKL_003162.1";"MPIPSYKL_002658.1";"MPIPSYKL_004198";"MPIPSYKL_003785.1";"MPIPSYKL_002088.1"
"GL000216.2";309;709;401;"*";8,76;8,2;9,15;-0,93;5,91e-05;0,000208;288,43;201,5;296,07;197,5;843,51;28,9;393,95;214,23;244,98;13,77;0;123,67;319,04;64,54;714,49;269,24;134,28;580,29;440,58;412,96;57,78;456,89;912,96;381,78;681,82;143,25;140,54;379,19;93,56;183,26;237,42;281,85;53,19;484,38;182,07;378,7;1358,79;278,27;283,3;100,28;28,52;270,87;28,88;81,89;349,18;215,52;21,1;646,96;453,74;148,15;606,62;1239,43;437,12;316,56;750,55;403,99;900,91;454,77;548,34;703,7;159,06;472,45;334,25;0;583,69;464,97;464,3;587,36;235,91;265,11;996,77;460,49;766,36;602,77;561,89;437,09;280,22;874,5;580,38;134,83;1157,34;834,08;542,26;454,44;2178,03;706,61;276,35;664,8;474,23;1114,39;270,46;719,11;588;168,15;297,99
"KI270538.1";53579;53979;401;"*";5,96;5,42;6,35;-0,91;0,000105;0,00036;24,99;59,57;60,6;18,13;165,78;4,08;23,83;8,31;72,12;9,26;87,97;62,64;104,3;7,66;52,4;17,28;22,38;74,22;97,6;29,22;7,13;32,42;60,86;46,78;26,6;28,93;7,85;46,55;6,39;30,68;34,38;40,83;12,84;34,74;28,65;105,76;197,11;47,93;30,42;19,68;4,86;18,06;3,94;12,85;103,63;12,6;2,99;60,24;83,08;17,13;23,63;29,51;36,15;119,78;103,92;30,72;36,62;73,18;111,82;124,43;22,32;190,99;56,89;92,72;80,11;46,5;116,08;244,73;18,2;87,56;98,89;73,41;166,25;193,99;30,37;32,66;24,02;148,69;83,8;28,52;64,55;63,77;91,04;31,87;262,17;145,33;86,94;42,43;61,19;39,04;86,69;29;180,92;12,3;27,52
"KI270724.1";587;987;401;"*";3,51;2,95;3,91;-1,04;0,000109;0,000373;4,17;5,88;10,39;1,91;19,5;0,47;9,53;1,85;8,48;0,23;8,51;4,82;15,34;1,61;6,35;4,32;10,07;20,24;11,15;15,58;0,36;5,9;12,17;22,64;0;2,75;2,14;6,81;1,68;4,04;3,27;2,63;5,5;20,44;3,82;13,65;46,13;3,99;11,41;2,23;1,99;11,29;0,79;0;11,26;5,04;0,63;13,1;12,78;4,03;23,63;29,51;13,15;19,96;20,21;20,48;10,99;6,53;23,65;25,74;4,65;5,03;8,53;10,7;19,07;19,37;23,22;14,68;12,38;7,3;15,82;6,67;0;45,03;3,8;15,07;6,67;20,16;18,62;6,48;32,28;25,51;11,87;5,74;13,44;35,08;18,63;9,43;13,39;14,2;10,4;17,4;19,38;2,93;3,59
"GL000216.2";5810;6210;401;"*";4,09;3,66;4,42;-0,86;0,000118;0,000401;10,41;13,97;10,39;8,59;58,51;1,98;7,94;15,7;11,67;1,24;11,35;8,03;15,34;6,05;33,34;12,96;8,95;35,99;25,1;15,58;4,28;8,84;36,52;15,09;26,6;8,26;4,28;11,35;3,03;2,42;6,55;7,9;4,28;30,66;3,82;17,06;25,16;10,65;7,61;4,09;2,21;5,64;3,15;4,82;11,26;13,86;2,05;10,48;35,15;4,54;35,45;19,67;3,29;17,11;25,98;13,03;25,64;9,15;30,1;4,29;13,02;17,59;14,22;14,26;3,81;7,75;23,22;39,16;17,47;31,62;31,64;3,34;32,44;34,64;11,39;23,86;24,02;40,32;15,52;6,48;13,83;17,85;59,37;18,48;53,78;20,05;15,53;37,72;13,39;46,14;24,27;23,2;25,85;5,86;10,77
"GL000225.1";167526;167926;401;"*";3,52;2,41;4,13;-1,58;0,000122;0,000412;3,12;11,03;22,51;0;0;0,23;9,53;6,46;11,67;2,37;0;22,49;0;2,82;0;7,2;0;0;30,67;0;2,85;16,21;0;10,56;0;8,26;2,85;9,08;3,7;6,46;6,55;0;3,06;0;5,73;0;12,58;0;5,7;0;2,65;14,67;0,53;0;6,76;0;2,2;13,1;9,59;7,56;0;0;0;0;0;13,96;18,31;11,76;0;0;23,25;60,31;31,29;0;30,52;0;16,58;0;6,55;26,75;15,82;0;8,11;38,11;34,17;27,63;0;30,24;0;9,08;59,94;53,56;51,46;11,47;67,22;0;21,74;0;13,39;24,84;10,4;92,79;0;2,34;0
"KI270589.1";14731;15131;401;"*";5,13;4,49;5,56;-1,05;0,000123;0,000416;23,95;15,44;43,29;20,04;48,76;3,61;33,36;4,62;28,63;3,05;28,38;25,7;0;4,03;33,34;0;15,67;56,23;27,89;0;4,64;20,63;146,07;30,18;43,52;0;9,99;23,84;4,71;24,22;24,56;43,46;7,95;18,39;16,55;54,59;0;15,98;28,52;3,34;10,17;20,31;6,04;8,03;56,32;11,34;4,57;44,53;67,1;10,58;51,21;93,45;0;0;25,98;30,72;51,27;31,36;15,05;0;35,35;57,8;29,87;39,23;72,48;0;96,18;0;19,66;38,92;110,75;0;56,77;38,11;91,12;30,14;25,35;47,88;40,35;11,67;69,16;38,26;106,87;22,95;147,89;55,13;24,84;70,72;74,58;70,98;41,61;110,19;103,38;5,86;63,43
"GL000225.1";131497;131897;401;"*";5,45;4,93;5,82;-0,9;0,00015;0,000501;24,99;13,24;83,11;17,17;121,89;1,98;22,24;26,78;35;1,92;45,4;14,46;64,42;6,86;28,58;28,8;24,62;69,73;36,25;48,7;2,5;38,32;97,38;27,16;48,36;23,42;0;32,92;9,09;10,49;27,83;23,71;10,39;40,88;10,82;75,06;50,33;18,64;39,93;6,69;2,65;29,34;3,41;15,25;54,07;16,38;3,94;39,29;79,88;10,58;70,9;142,63;39,44;51,33;66,4;14,89;51,27;30,06;55,91;47,2;17,67;50,26;38,4;74,89;64,85;58,12;112,76;53,84;24,03;26,75;55,38;70,08;56,77;128,18;83,52;43,96;22,68;47,88;71,38;20,74;59,94;63,77;59,37;12,75;67,22;180,41;52,79;70,72;40,16;74,53;24,27;0;168;8,2;5,98
"KI270728.1";232524;232924;401;"*";4,79;4,15;5,22;-1,02;0,000155;0,000515;17,7;9,56;36,36;13,36;19,5;1,98;14,3;9,23;13,79;0,9;45,4;24,09;73,62;4,03;23,82;20,16;22,38;53,98;36,25;50,65;0;16,21;0;27,16;38,68;0;10,7;21,57;3,37;12,92;18,01;27,66;6,11;18,39;8,91;0;16,78;13,31;17,11;5,94;4,2;22,57;2,89;0;33,79;12,6;2,83;44,53;63,91;7,56;27,57;142,63;29,58;0;37,53;25,13;29,3;36,59;43,01;64,36;22,32;40,21;28,45;0;30,52;46,5;46,43;0;14,56;58,37;0;46,72;0;45,03;53,15;17,58;24,02;22,68;68,28;29,82;50,72;25,51;87,08;8,29;60,5;70,16;52,79;51,86;34,42;67,43;24,27;0;77,54;8,79;21,54
"KI270310.1";411;811;401;"*";3,97;3,37;4,38;-1,07;0,000168;0,000557;2,08;9,56;5,19;1,91;73,14;1,17;3,18;2,77;13,79;2,03;22,7;35,34;6,14;2,02;14,29;23,04;3,36;20,24;8,37;11,69;0,71;5,9;60,86;12,07;2,42;2,75;6,42;3,41;1,01;0,81;21,29;19,76;3,06;12,26;8,28;10,24;8,39;2,66;7,61;1,49;0,44;6,77;1,05;2,41;9,01;13,86;0,63;34,05;41,54;1,01;43,33;39,35;13,15;31,37;8,66;2,79;3,66;14,38;21,5;4,29;4,65;17,59;12,8;17,83;34,33;11,62;39,8;4,89;2,18;55,94;23,73;10,01;24,33;69,28;22,78;32,66;13,34;7,56;18,62;7,78;23,05;10,2;15,83;12,11;47,06;10,02;9,32;42,43;11,47;3,55;24,27;34,8;45,23;2,34;14,36
"KI270733.1";135659;136059;401;"*";6,7;5,99;7,16;-1,12;0,00017;0,000565;24,99;30,89;6,93;0;19,5;1,28;109,61;53,56;8,48;10,16;130,54;65,85;282,23;18,96;139,72;12,96;38,04;53,98;214,72;87,66;18,55;95,8;18,26;43,76;174,08;64,74;17,84;77,2;20,87;41,17;101,52;0;22,62;118,54;63,02;122,82;230,66;0;83,66;27,85;11,5;21,44;21,53;33,72;164,45;52,94;26,14;83,82;86,27;46,86;118,17;344,29;72,31;188,23;138,56;130,32;157,48;56,19;206,43;334,68;86,51;228,69;122,32;217,53;0;275,11;129,34;0;42,96;63,24;174,04;153,5;97,32;3,46;265,76;143,18;172,13;168,85;583,48;6,48;0;323,94;47,5;56,09;47,06;155,35;161,46;183,88;11,47;330,06;308,6;266,77;12,92;13,48;71,8
"GL000220.1";119685;120085;401;"*";7,46;6,96;7,82;-0,83;0,000201;0,000659;51,02;46,33;102,15;26,72;409,56;6,87;154,08;34,17;154,84;9,14;354,72;126,89;1067,56;43,16;107,97;164,14;52,59;218,17;128,27;109,08;21,76;86,96;219,11;126,76;87,04;59,23;68,49;87,42;31,97;49,25;93,33;89,56;42,8;106,28;61,75;225,17;381,64;74,56;186,33;23,03;26,31;66,59;25,47;36,13;81,1;102,09;18,42;222,64;338,71;36,79;259,98;260,67;111,74;188,23;144,34;148,94;117,19;185,57;182,78;214,54;126,5;168,37;108,1;410,1;122,08;375,85;215,57;308,36;48,78;182,42;363,9;353,71;373,04;415,7;239,18;115,55;114,76;191,53;248,29;140,02;152,16;158,14;486,85;59,28;430,23;160,37;127,31;169,74;112,82;138,41;825,25;545,13;264,92;54,49;161,56
"KI270751.1";149828;150228;401;"*";6,57;5,91;7,01;-1,05;0,000206;0,000673;78,09;60,3;138,51;3,82;195,03;6,29;73,07;30,47;80,6;8,13;99,32;69,06;165,66;10,89;82,56;38,87;61,54;177,69;133,85;140,25;9,27;36,85;164,33;72,43;0;0;0;76,06;16,83;29,87;39,3;80,34;22,01;85,84;9,55;112,59;92,26;62,58;28,52;21,17;18,57;38,37;13,13;0;94,62;45,37;9,29;199,06;143,79;21,67;0;275,43;52,59;65,59;147,22;68,88;32,96;94,09;103,22;0;38,14;193,51;132,28;217,53;0;162,74;172,46;259,42;55,34;111,88;150,31;140,15;218,96;180,14;140,47;99,22;76,06;199,09;192,43;36,3;318,15;234,67;225,61;38,24;289,06;150,34;121,1;0;145,33;223,59;173,37;0;213,23;41,6;34,71
"GL000225.1";33519;33919;401;"*";4,84;4,25;5,25;-0,97;0,000229;0,00074;16,66;27,94;62,33;14,31;58,51;1,86;6,35;5,54;16,97;2,37;28,38;33,73;18,41;2,42;25,4;5,76;16,78;62,98;33,46;48,7;0,36;23,58;60,86;15,09;26,6;17,91;7,85;19,3;4,38;17,76;0;30,29;3,06;30,66;12,73;13,65;16,78;0;0;6,69;2,87;16,93;1,58;9,63;45,06;17,65;3,62;20,95;31,95;7,56;0;83,61;39,44;17,11;37,53;13,96;43,95;18,3;21,5;8,58;14,88;77,9;21,34;24,96;45,78;69,75;49,75;78,31;19,66;38,92;23,73;0;24,33;48,5;75,93;18,84;8,01;68,04;9,31;19,45;64,55;43,36;67,29;23,58;40,33;155,35;18,63;14,14;38,24;35,49;38,14;81,19;103,38;10,55;9,57
"GL000225.1";13939;14339;401;"*";5,11;4,56;5,5;-0,91;0,000553;0,00171;26,03;22,06;67,53;16,22;34,13;2,33;30,18;0;25,45;3,16;31,22;25,7;67,49;9,28;23,82;0;41,4;69,73;52,98;46,75;3,57;44,22;0;27,16;29,01;38,57;17,12;26,11;9,09;12,11;31,11;23,71;8,56;20,44;14,01;64,82;20,97;0;7,61;8,17;3,1;24,83;2,89;2,41;56,32;11,34;2,36;62,86;47,93;13,61;66,96;108,2;26,29;34,22;54,85;34,44;0;33,98;25,8;0;20,46;60,31;29,87;60,62;61,04;42,62;59,7;29,37;17,47;24,32;55,38;0;56,77;58,89;60,74;46,47;18,68;47,88;31,04;2,59;41,5;91,83;43,54;29,32;168,06;115,26;52,79;0;26,77;78,08;27,74;115,98;58,15;5,27;28,72
"GL000216.2";149331;149731;401;"*";4,32;3,74;4,73;-1;0,00075;0,00227;9,37;4,41;31,17;6,68;53,63;0;7,94;12;12,73;0,56;25,54;0;30,68;5,24;23,82;10,08;6,71;38,24;19,52;27,27;2,5;8,84;42,6;7,55;14,51;9,64;0;13,62;2,02;4,84;19,65;23,71;0;8,18;5,09;34,12;29,36;11,98;13,31;0;1,99;14,67;1,84;5,62;15,77;8,82;1,73;31,43;35,15;7,56;39,39;59,02;26,29;8,56;0;9,31;54,93;10,45;19,35;0;13,02;47,75;18,49;7,13;22,89;42,62;63,01;44,05;11,65;29,19;0;36,71;0;34,64;45,56;13,82;0;20,16;37,24;6,48;23,05;43,36;43,54;12,11;80,67;55,13;40,37;37,72;30,6;56,78;0;0;38,77;7,62;9,57
"GL000216.2";14281;14681;401;"*";2,92;2,39;3,3;-1,01;0,000795;0,00239;6,25;2,94;8,66;5,72;24,38;0,7;3,18;4,62;3,18;0,56;2,84;3,21;3,07;0,81;7,94;7,2;4,48;6,75;5,58;13,64;1,07;0;24,35;3,02;9,67;11,02;3,57;5,68;2,02;1,61;6,55;0;1,83;8,18;4,46;0;20,97;2,66;11,41;2,6;1,33;0;1,05;0,8;4,51;1,26;1,1;13,1;19,17;3,02;0;0;13,15;8,56;0;5,59;10,99;9,15;10,75;0;3,72;7,54;8,53;3,57;0;11,62;9,95;29,37;4,37;0;27,69;13,35;12,16;10,39;18,98;11,3;0;10,08;0;5,19;23,05;30,61;7,92;5,1;47,06;10,02;0;9,43;24,86;10,65;0;11,6;0;2,34;9,57
"KI270435.1";91976;92376;401;"*";3,64;2,41;4,29;-1,65;0,000874;0,00262;0;8,82;31,17;10,5;0;1,17;14,3;0;9,54;0;5,68;0;6,14;0;0;0;6,71;0;0;0;2,5;10,32;0;0;26,6;0;2,85;21,57;2,36;0;8,19;2,63;8,56;0;10,82;0;20,97;0;0;0;4,2;12,41;3,15;0;18,02;0;0;10,48;0;0;0;0;0;0;31,75;22,34;0;11,76;12,9;0;12,09;70,37;5,69;0;0;0;49,75;39,16;6,55;0;0;0;48,66;0;30,37;22,61;17,35;35,28;24,83;20,74;64,55;5,1;67,29;0;94,11;85,19;0;0;38,24;0;0;0;96,92;5,86;8,38
"KI270733.1";158522;158922;401;"*";2,36;1,7;2,81;-1,19;0,000925;0,00275;2,08;2,94;1,73;1,91;4,88;0,35;1,59;3,69;3,18;0,23;19,86;0;24,54;0,81;0;0;1,12;0;8,37;1,95;0,36;0;0;1,51;4,84;1,38;0;4,54;0,67;1,61;4,91;3,95;1,22;2,04;1,27;6,82;20,97;3,99;3,8;0,37;0,22;1,13;0,53;1,61;4,51;1,26;0,16;13,1;3,2;0,5;35,45;19,67;0;5,7;0;2,79;0;5,23;8,6;4,29;0,93;0;9,96;17,83;0;7,75;9,95;4,89;0,73;2,43;3,96;10,01;0;27,71;7,59;2,51;2,67;10,08;12,41;5,19;4,61;0;11,87;0;20,17;5,01;9,32;9,43;9,56;7,1;13,87;0;6,46;1,17;2,39
"KI270733.1";168670;169070;401;"*";7,64;6,93;8,1;-1,09;0,000988;0,00293;30,2;94,87;79,65;0;0;28,08;371,71;224,39;94,39;19,3;204,32;65,85;377,33;34,69;0;123,82;134,28;238,41;195,2;165,57;0;185,7;200,85;86,01;369,92;100,55;32,1;375,78;27,26;88,8;175,2;81,66;73,98;402,63;12,73;300,23;0;79,88;32,32;46,42;57,05;257,32;31,51;33,72;146,43;57,98;0;170,25;357,88;62,48;212,71;1155,82;197,2;353,64;594,67;385,37;845,98;41,82;354,81;248,87;151,62;231,2;147,92;167,61;103;0;175,77;259,42;18,2;148,37;0;0;417,64;79,68;299,93;521,24;88,07;483,87;502,79;162,06;0;494,84;878,71;66,29;0;180,41;434,7;301,75;275,36;663,66;287,8;243,57;219,69;44,53;157,97
"KI270709.1";3773;4173;401;"*";5,08;4,28;5,58;-1,21;0,00103;0,00306;34,36;23,53;103,88;6,68;14,63;2,8;20,65;0;16,97;5,08;105;20,88;73,62;10,08;3,18;0;2,24;71,97;30,67;38,96;0,71;0;0;0;7,25;33,06;3,57;22,71;2,02;11,3;8,19;26,34;7,34;2,04;7,64;27,29;33,55;0;0;2,6;4,2;13,54;3,68;29,71;69,84;8,82;3,15;0;0;0;0;63,94;13,15;79,85;34,64;28,86;0;6,53;21,5;0;34,42;123,14;41,25;181,87;15,26;11,62;43,11;127,26;32,76;51,08;15,82;70,08;121,64;0;246,78;13,82;5,34;35,28;12,41;0;106,05;12,75;15,83;25,49;100,83;180,41;6,21;47,15;19,12;0;72,82;86,99;180,92;10,55;5,98
"KI270733.1";164922;165322;401;"*";3,99;3,19;4,49;-1,2;0,00132;0,00383;11,45;5,15;13,85;4,77;4,88;2,1;0;13,85;8,48;0,34;8,51;16,06;12,27;0,81;0;10,08;0;67,48;13,94;37,01;1,43;2,95;24,35;13,58;43,52;0;0,71;0;2,69;11,3;1,64;0;4,28;0;3,82;3,41;29,36;0;7,61;0;6,41;15,8;0;12,85;0;3,78;9,29;15,72;54,32;0;39,39;44,27;29,58;0;0;5,59;10,99;10,45;8,6;0;2,79;0;51,2;10,7;7,63;131,74;6,63;24,47;5,1;9,73;39,55;10,01;12,16;31,18;53,15;2,51;9,34;35,28;9,31;15,56;27,67;7,65;95;0;53,78;15,03;0;9,43;63,1;60,33;20,8;0;25,85;9,37;0
"6";28982020;28982420;401;"*";3,04;1,25;3,8;-2,19;0,00133;0,00384;0;0;0;3,82;0;6,06;0;0;0;2,03;0;0;0;0;0;0;0;0;0;0;4,64;0;0;0;0;0;0;0;5,72;0;0;18,44;12,84;0;14,64;0;0;11,98;0;11,88;0;0;5,78;4,82;0;0;8,82;39,29;0;0;0;0;0;0;37,53;77,26;0;9,15;0;0;27,91;10,05;29,87;10,7;34,33;0;0;0;69,9;0;0;26,7;0;0;0;69,08;30,69;0;0;0;0;12,75;0;79,03;0;0;0;0;42,07;0;0;0;0;13,48;47,87
"GL000225.1";50613;51013;401;"*";5,03;4,32;5,5;-1,09;0,00133;0,00385;26,03;11,77;86,57;17,17;68,26;2,33;15,88;19,39;27,57;2,82;0;9,64;0;3,63;34,93;0;0;83,22;39,04;40,91;4,28;16,21;24,35;0;38,68;27,55;0;19,3;0;15,34;13,1;35,56;3,06;0;12,73;47,76;67,1;23,97;0;4,83;1,77;21,44;0;16,86;29,29;18,91;5,04;39,29;79,88;12,6;0;73,78;0;0;51,96;26,06;87,89;24,83;34,41;0;16,74;87,96;28,45;0;45,78;108,49;122,71;63,63;34,22;51,08;27,69;0;64,88;51,96;75,93;22,61;30,69;98,29;24,83;25,93;55,33;43,36;75,2;18,48;0;260,59;43,47;0;24,86;46,14;17,34;0;161,54;4,1;13,16
"KI270435.1";1403;1803;401;"*";5,48;4,77;5,95;-1,09;0,00154;0,0044;8,33;37,5;69,26;40,07;0;4,43;22,24;0;44,54;5,98;93,65;0;0;10,08;36,52;4,32;27,97;96,72;41,83;0;9,99;44,22;0;30,18;84,62;0;23,54;30,65;7,4;27,45;45,85;18,44;3,67;10,22;22,28;0;109,04;38,61;3,8;13,74;9,73;58,69;11,03;22,48;74,34;30,25;5,51;2,62;19,17;15,12;0;34,43;23,01;99,82;0;64,23;0;57,5;49,46;0;49,3;143,24;58,32;128,38;19,07;23,25;72,96;225,16;48,05;0;142,4;10,01;68,93;0;136,68;48,98;48,04;146,17;0;27,23;165,99;48,46;217,7;34,42;242;145,33;0;94,3;63,1;0;107,49;34,8;0;11,72;44,28
"KI270508.1";1173;1573;401;"*";5,2;4,6;5,62;-0,96;0,0016;0,00455;26,03;25,74;50,21;14,31;0;3,5;9,53;3,69;40,3;2,6;76,62;0;36,81;9,68;28,58;0;7,83;71,97;0;31,17;4,99;26,53;66,95;43,76;65,28;26,17;17,84;37,46;4,38;19,38;40,93;38,19;14,67;6,13;8,28;71,65;96,46;23,97;5,7;7,06;7,52;40,63;7,61;8,83;11,26;0;2,99;55;51,13;5,54;0;147,55;0;0;43,3;20,48;10,99;53,58;60,21;0;30,7;82,93;36,98;60,62;61,04;0;116,08;141,95;27,67;46,21;67,24;3,34;129,75;48,5;56,95;38,94;26,69;68,04;52,76;25,93;23,05;56,12;166,24;24,86;188,22;65,15;6,21;61,29;42,07;63,88;34,67;0;0;0;51,46
"KI270729.1";27606;28006;401;"*";3,1;2,6;3,47;-0,89;0,00163;0,00462;3,12;6,62;12,12;5,72;14,63;1,05;7,94;1,85;8,48;1,24;5,68;9,64;18,41;2,42;4,76;5,76;2,24;17,99;16,73;0;1,43;13,26;0;3,02;26,6;0;5,71;4,54;0,67;3,23;6,55;5,27;4,28;0;7;0;8,39;5,33;15,21;3,34;0,66;6,77;1,84;4,01;4,51;6,3;0,94;13,1;12,78;4,54;0;14,76;0;14,26;0;8,38;0;22,22;10,75;8,58;13,95;20,1;18,49;24,96;11,44;19,37;26,53;0;3,64;7,3;23,73;0;20,27;24,25;0;8,79;8,01;7,56;9,31;5,19;13,83;0;27,71;2,55;6,72;20,05;21,74;9,43;11,47;17,75;0;0;25,85;4,1;7,18
"KI270713.1";21604;22004;401;"*";5,11;4,24;5,65;-1,27;0,00208;0,00583;0;21,33;38,09;6,68;0;28,08;17,47;0;15,91;7,22;28,38;46,58;0;4,84;44,46;23,04;32,45;31,49;0;19,48;7,85;29,48;0;0;0;0;17,12;15,89;22,55;0;0;64,54;40,35;24,53;29,92;44,35;0;98,52;20,91;21,17;5,53;0;6,83;41,75;0;15,12;13,86;57,62;0;25,2;0;0;184,05;105,52;43,3;80,05;0;33,98;0;0;42,79;45,23;21,34;181,87;301,38;42,62;0;73,42;56,79;58,37;0;0;133,81;0;45,56;45,22;50,71;17,64;34,14;22,04;0;79,07;0;139,58;0;0;0;84,87;135,77;0;86,69;81,19;0;52,15;40,69
"19";1383404;1383804;401;"*";4,97;3,82;5,6;-1,56;0,00243;0,00673;23,95;13,97;43,29;26,72;0;14,68;19,06;0;13,79;8,69;0;22,49;0;4,03;22,23;0;0;0;0;0;11,06;26,53;0;0;19,34;0;32,1;0;16,83;0;0;61,9;59,31;0;34,38;0;0;47,93;0;28,23;6,41;0;13,39;25,69;0;47,89;20,94;78,58;0;16,63;0;0;164,33;79,85;46,19;106,12;0;53,58;0;0;124,64;27,64;76,81;85,59;114,45;0;0;0;156,54;51,08;126,57;56,73;60,82;0;0;131,88;105,42;0;0;25,93;0;99,48;0;154,88;0;0;0;0;112,82;0;0;115,98;0;27,54;122,07
"KI270438.1";706;1106;401;"*";4,38;2,97;5,07;-1,75;0,00301;0,00816;0;0;0;9,54;0;6,41;6,35;0;26,51;5,42;0;33,73;0;13,71;0;0;0;0;27,89;0;7,85;50,11;0;0;0;0;8,56;0;0;0;13,1;21,07;9,78;44,96;12,73;0;33,55;0;0;1,49;6,63;19,19;1,05;0;2,25;0;5,83;39,29;0;0;0;0;0;17,11;0;40,03;0;33,98;6,45;30,04;60,46;90,47;58,32;0;38,15;0;99,49;0;12,38;0;51,42;0;0;0;94,91;70,34;0;0;0;0;0;22,96;162,28;43,34;289,06;0;43,47;0;97,52;0;0;185,58;0;0;27,52
"KI270743.1";151775;152175;401;"*";3,49;2,99;3,86;-0,88;0,00345;0,00926;8,33;4,41;10,39;0;19,5;0,7;7,94;7,39;9,54;0,45;25,54;19,27;24,54;0,81;11,11;12,96;3,36;24,74;19,52;3,9;0;7,37;0;9,05;16,92;6,89;4,28;4,54;2,69;0,81;8,19;2,63;8,56;8,18;3,18;0;29,36;7,99;11,41;1,11;2,21;2,26;3,68;0;13,52;2,52;1,42;0;15,98;3,53;0;29,51;0;17,11;20,21;7,45;10,99;20,91;19,35;17,16;14,88;7,54;15,65;28,53;0;7,75;13,27;34,26;6,55;24,32;0;36,71;28,38;17,32;11,39;7,54;5,34;22,68;34,14;14,26;18,44;28,06;11,87;0;26,89;25,06;27,95;0;17,21;17,75;0;0;25,85;2,34;2,39
"KI270734.1";121348;121748;401;"*";1,41;0,67;1,89;-1,08;0,00374;0,00998;0;1,47;5,19;1,91;0;0,58;1,59;0,92;1,06;0,56;0;1,61;0;0,81;1,59;2,88;1,12;6,75;2,79;3,9;0,71;2,95;0;4,53;2,42;2,75;0;0;0;0;1,64;2,63;0,61;0;0,64;0;4,19;1,33;5,7;0,37;0,44;4,51;0,53;1,61;2,25;0;0,16;10,48;0;0;3,94;0;0;8,56;5,77;0,93;3,66;0;2,15;0;0,93;7,54;2,84;0;0;0;6,63;0;1,46;0;0;3,34;8,11;3,46;7,59;1,26;1,33;7,56;6,21;1,3;9,22;2,55;3,96;0,64;0;15,03;0;0;1,91;3,55;10,4;23,2;6,46;1,76;3,59
"17";8186804;8187204;401;"*";5,36;3,97;6,05;-1,78;0,0038;0,0101;0;38,24;0;39,12;0;23,89;0;0;7,42;9,82;0;0;0;2,02;57,16;0;14,55;0;0;0;0;0;0;0;0;0;31,39;0;17,16;0;0;54;57,47;0;53,48;0;0;87,87;0;27,48;0;18,06;26,78;41,75;0;102,09;27,87;96,91;0;6,55;0;59,02;308,94;102,67;77,94;162,9;0;36,59;0;0;161,85;27,64;88,19;164,04;217,45;0;0;0;220,62;0;0;20,02;129,75;0;0;169,56;185,48;42,84;0;23,34;0;155,59;0;238,38;0;0;0;0;200,78;0;0;110,19;0;25,78;137,62
